Address,Price,Zip Code,SqFt,Beds,Baths,Est,Lat,Long,Region
216 9th St NW,425000,87102,3151,5,5,432665,35.086861,-106.657013,NW
1017 Arno St SE,133500,87102,1750,3,1,141736,35.072884,-106.64463,SE
1211 4th St SW,268000,87102,2100,3,2,248436,35.073448,-106.653862,SW
115 Elm St NE,299900,87102,2065,3,2,294685,35.083488,-106.638779,NE
1015 Stover Ave SW,450000,87102,2222,4,3,NA,35.079834,-106.660606,SW
512 Hazeldine Ave SW,164000,87102,1200,3,2,162863,35.077759,-106.654854,SW
2703 Floral Rd NW,134000,87104,1168,3,2,137299,35.107075,-106.677345,NW
1147 10th St NW,175000,87104,1763,3,2,178535,35.0974,-106.65715,NW
2809 Socorro St NW,179900,87104,1500,4,3,177444,35.108284,-106.679398,NW
2201 Wilder Ln NW,464900,87104,2848,3,4,353606,35.111359,-106.670929,NW
600 Raynolds Ave SW,539500,87104,3451,4,4,569984,35.084553,-106.665398,SW
1709 Garden Way SW,249490,87105,2181,4,3,218244,35.074544,-106.683918,SW
3126 La Junta Rd SW,159000,87105,1548,3,2,140240,35.029827,-106.698013,SW
359 57th St NW,75000,87105,400,1,1,64253,35.087032,-106.702744,NW
2037 Minnie St SW,76500,87105,936,3,1,97015,35.044903,-106.686943,SW
4901 Olympia Rd NW,259000,87105,2039,3,2,246024,35.089012,-106.693359,NW
624 Red Bluff Ave SW,149999,87105,1185,3,2,150297,35.076626,-106.69278,SW
433 Dartmouth Dr NE,325000,87106,1882,4,2,330033,35.085613,-106.612373,NE
507 Princeton Dr SE,400000,87106,1847,4,2,376842,35.073109,-106.616096,SE
3001 San Joaquin Ave SE,394721,87106,4100,6,4,390434,35.06625,-106.610596,SE
409 Princeton Dr SE,230000,87106,1541,3,3,245982,35.074757,-106.616119,SE
610 Richmond Dr NE,629995,87106,3114,5,3,570429,35.086605,-106.610641,NE
2009 Lead Ave SE,197500,87106,1252,2,2,NA,35.078194,-106.624313,SE
152 Velarde Rd NW,159000,87107,1300,2,1,163948,35.15534,-106.63059,NW
1654 Rancho Guadalupe Trl NW,485000,87107,2884,3,3,479397,35.139099,-106.66024,NW
3917 Pedroncelli Rd NW,799000,87107,2800,3,3,551248,35.137844,-106.670708,NW
3008 Calle Obispo NW,457500,87107,1953,3,2,341212,35.124627,-106.676125,NW
2925 Sierra Vista St NW,259000,87107,1900,3,2,263232,35.114483,-106.659409,NW
1103 Griegos Rd NW,159900,87107,1357,3,1,144577,35.133114,-106.650848,NW
1108 Salamanca St NW,975000,87107,4360,4,4,814235,35.151917,-106.651108,NW
4614 Inspiration Dr SE,374000,87108,1960,4,2,349060,35.068203,-106.593971,SE
812 Palomas Dr SE,175000,87108,1459,3,2,159086,35.068607,-106.582741,SE
1013 Jefferson St SE,259900,87108,1251,3,2,246965,35.06683,-106.592133,SE
4614 Burton Ave SE,265000,87108,1650,3,2,277427,35.071892,-106.593925,SE
629 Sierra Dr SE,499999,87108,2716,3,3,469528,35.070244,-106.598206,SE
1002 Parkland Cir SE,380000,87108,2567,4,3,401846,35.066502,-106.598946,SE
8809 Palomar Ave NE,249800,87109,1579,3,2,258996,35.173393,-106.545677,NE
9500 Peralta Rd NE,304000,87109,2150,3,2,288153,35.164307,-106.536728,NE
7300 Bobwhite Ln NE,135000,87109,1791,3,2,180040,35.172226,-106.563583,NE
6612 Christy Ave NE,289850,87109,1950,4,2,283029,35.153954,-106.57309,NE
7209 Oralee St NE,210000,87109,1610,4,2,211582,35.16164,-106.563118,NE
9300 Thornton Ave NE,395000,87109,2717,4,3,414674,35.168243,-106.53891,NE
4405 Andrew Dr NE,375000,87109,2736,8,3,396950,35.136509,-106.572899,NE
916 Hermosa Dr NE,280900,87110,1575,3,2,275977,35.090927,-106.603088,NE
3121 Madeira Dr NE,159900,87110,1332,3,1,156683,35.118111,-106.584808,NE
2905 Espanola St NE,255000,87110,1819,3,2,245762,35.115032,-106.564766,NE
3111 Morningside Dr NE,129000,87110,1271,3,1,138965,35.11795,-106.600235,NE
6847 Mossman Pl NE,179900,87110,1562,3,2,194630,35.12254,-106.571014,NE
7101 Seminole Rd NE,229900,87110,1582,3,2,233948,35.117165,-106.565437,NE
10060 Del Chaparral Ct NE,247300,87111,1793,3,2,225645,35.133331,-106.529099,NE
5700 Teakwood Trl NE,459900,87111,3640,4,3,488083,35.145283,-106.50119,NE
